"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"DESCRIPTION";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PRICE";"TP_SIGNAL_NAME";
"1";"";"CPOL-EUSMCB";"SMC_B";"C9.03";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"1";"";"FE06-1";"FE06";"SV2";"FEMALE HEADER";"";"";"";"";"";"unknown";"unknown";"";"";"";
"2";"";"FE08-1";"FE08";"SUPPLY, SV3";"FEMALE HEADER";"";"";"";"";"";"unknown";"unknown";"";"";"";
"1";"";"FE10-1";"FE10";"SV1";"FEMALE HEADER";"";"";"";"";"";"unknown";"unknown";"";"";"";
"32";"";"SJ";"SJ";"SJ1, SJ2, SJ3, SJ4, SJ5, SJ6, SJ7, SJ8, SJ9, SJ10, SJ11, SJ12, SJ13, SJ14, SJ15, SJ16, SJ17, SJ18, SJ20, SJ21, SJ22, SJ23, SJ24, SJ25, SJ26, SJ27, SJ28, SJ29, SJ30, SJ31, SJ32, SJ33";"SMD solder JUMPER";"";"";"";"";"";"";"";"";"";"";
"2";"100nF";"C-EUC0805K";"C0805K";"C9.04, C9.05";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"1";"180R";"R-EU_R0805";"R0805";"R9.08";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"2";"1uF";"CPOL-EUA/3216-18W";"A/3216-18W";"C9.00, C9.01";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"2";"330R";"R-EU_R0805";"R0805";"R9.09, R9.10";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"1";"ADNS-3080";"ADNS-3080";"ADNS-3080";"U9.00";"";"";"";"";"";"";"";"";"";"";"";
"2";"GREEN";"LEDCHIP-LED0805";"CHIP-LED0805";"D9.03, D9.04";"LED";"";"";"";"";"";"";"";"";"";"";
"1";"MBR0520LT";"MBR0520LT";"SOD123";"D9.99";"SCHOTTKY BARRIER RECTIFIER";"";"";"";"";"";"";"";"";"";"";
"1";"MIC5205-3.3YM5TR";"MIC5205-3.3YM5TR";"SOT95P280X130-5N";"U9.01";"150mA Low-Noise LDO Regulator";"Good";"MIC5205 Series 3.3 V Fixed Output 150 mA Low-Noise LDO Regulator - SOT-23-5";"Microchip";"MIC5205-3.3YM5-TR";"";"";"";"SOT-23-5 Microchip";"0.36 USD";"";
"1";"RED";"LED5MM";"LED5MM";"D9.01";"LED";"";"";"";"";"";"";"";"";"";"";
"2";"RED";"LEDCHIP-LED0805";"CHIP-LED0805";"D9.00, D9.02";"LED";"";"";"";"";"";"";"";"";"";"";
"1";"REF.KITT-DB01";"REF.KITT-DB01";"REF_KITT-DB01";"REF1";"";"";"";"";"";"";"";"";"";"";"";
"1";"REF_GC-BBV2.0";"REF_GC-BBV2.0";"REF_GHOSTCAR";"REF2";"";"";"";"";"";"";"";"";"";"";"";
"1";"RESON";"RESON";"RESON-SMD";"X1";"";"";"";"";"";"";"";"";"";"";"";
"1";"SI1922EDH";"SI1922EDH";"SC70-6";"U9.02";"";"";"";"";"";"";"";"";"";"";"";
"32";"TPPAD1-13";"TPPAD1-13";"P1-13";"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP21, TP22, TP23, TP24, TP25, TP26, TP27, TP28, TP29, TP30, TP31, TP32";"Test pad";"";"";"";"";"";"";"";"";"";"";
"5";"[0R]";"R-EU_R0805";"R0805";"R9.00, R9.06, R9.07, R9.11, R9.12";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"6";"[PPR]";"R-EU_R0805";"R0805";"R9.01, R9.02, R9.03, R9.04, R9.05, R9.13";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
